Date,Brand,20 Days Moving NS,BW_Vol,BW_NVol
2020-03-01,Starbucks,0.21304293934999996,8907,-1.915399161391104
2020-02-29,Starbucks,0.06092031669999998,8116,-1.9316574858176436
2020-02-28,Starbucks,-0.11254253285000008,10949,-1.8734276083203156
2020-02-27,Starbucks,-0.2596955889,11608,-1.8598824303214667
2020-02-26,Starbucks,-0.3078298273000001,12591,-1.8396777110910136
2020-02-25,Starbucks,-0.2290910120000001,15157,-1.786935788867878
2020-02-24,Starbucks,-0.005365917600000114,8533,-1.9230864096028941
2020-02-23,Starbucks,0.16769818104999998,8357,-1.9267039381731481
2020-02-22,Starbucks,0.08910844644999996,9758,-1.8979075885883416
2020-02-21,Starbucks,0.01509229700000001,16466,-1.7600304201266135
2020-02-20,Starbucks,-0.18097573255000002,23374,-1.618042423744142
2020-02-19,Starbucks,-0.36178904260000005,40732,-1.2612636685028364
2020-02-18,Starbucks,-0.2614913517,50541,-1.0596481131299844
2020-02-17,Starbucks,-0.07208873280000007,11632,-1.8593891309709776
2020-02-16,Starbucks,-0.0028854201499999817,7482,-1.9446888103263997
2020-02-15,Starbucks,0.024576115950000022,6883,-1.9570007399490257
2020-02-14,Starbucks,0.022468081899999964,11457,-1.862986105401628
2020-02-13,Starbucks,-0.08318452479999998,11216,-1.8679396530461234
2020-02-12,Starbucks,-0.13398697390000006,19732,-1.6929006001808764
2020-02-11,Starbucks,-0.20969330434999994,13691,-1.8170681575269259
2020-02-10,Starbucks,-0.07648582694999999,40525,-1.2655183754008057
2020-02-09,Starbucks,0.2105698522,33308,-1.4138576009208255
2020-02-08,Starbucks,0.37249131105,15508,-1.7797212858669735
2020-02-07,Starbucks,0.50090177975,11307,-1.8660692263421854
2020-02-06,Starbucks,0.6291414443,31132,-1.4585834086985119
2020-02-05,Starbucks,0.6862137698499999,41399,-1.2475540573871577
2020-02-04,Starbucks,0.61294108865,34391,-1.391597467730001
2020-02-03,Starbucks,0.5559988402499999,18208,-1.72422510893694
2020-02-02,Starbucks,0.5497284428999999,12691,-1.8376222971306422
2020-02-01,Starbucks,0.5634082773499999,18049,-1.7274932171339308
2020-01-31,Starbucks,0.6633461337,18849,-1.7110499054509578
2020-01-30,Starbucks,0.6872409455499999,13849,-1.8138206034695388
2020-01-29,Starbucks,0.6982331424999999,12474,-1.8420825454246486
2020-01-28,Starbucks,0.6928305149,8682,-1.9200238428019403
2020-01-27,Starbucks,0.646329245,6100,-1.9730946312587354
2020-01-26,Starbucks,0.66048153425,5574,-1.9839061086902903
2020-01-25,Starbucks,0.61598924865,6433,-1.966250102770698
2020-01-24,Starbucks,0.5562142439,8166,-1.9306297788374578
2020-01-23,Starbucks,0.5691292675999999,9841,-1.8962015950012332
2020-01-22,Starbucks,0.51641776855,12058,-1.8506330674997944
2020-01-21,Starbucks,0.4369772879499999,13549,-1.8199868453506536
2020-01-20,Starbucks,0.34325439134999997,9816,-1.8967154484913262
2020-01-19,Starbucks,0.3405168578,10525,-1.8821425635122915
2020-01-18,Starbucks,0.3313714381499999,12741,-1.8365945901504563
2020-01-17,Starbucks,0.11529451455000002,19999,-1.6874126449066842
2020-01-16,Starbucks,-0.07721211040000002,11291,-1.8663980925758448
2020-01-15,Starbucks,-0.05096748560000004,23391,-1.617693003370879
2020-01-14,Starbucks,-0.005324648500000029,21150,-1.663754830222807
2020-01-13,Starbucks,-0.03021988710000003,8183,-1.9302803584641948
2020-01-12,Starbucks,-0.10661515070000002,10716,-1.8782167228479816
2020-01-10,Starbucks,-0.09399548695000001,10357,-1.8855956589657157
2020-01-09,Starbucks,-0.0864973398,17375,-1.7413467072268354
2020-01-08,Starbucks,0.06830440019999999,9366,-1.9059648113129986
2020-01-07,Starbucks,0.020709228299999983,8566,-1.9224081229959713
2020-01-06,Starbucks,0.05000054619999998,9308,-1.907156951410014
2020-01-05,Starbucks,-0.12650413885000003,6050,-1.9741223382389212
2020-01-04,Starbucks,-0.2538264987,6732,-1.9601044150291869
2020-01-03,Starbucks,-0.2752762181,6891,-1.9568363068321961
2020-01-02,Starbucks,-0.39998438545000004,8133,-1.9313080654443806
2020-01-01,Starbucks,-0.35046796975000005,5849,-1.9782537202992683
2019-12-31,Starbucks,-0.22867014555000004,6257,-1.969867631340952
2019-12-30,Starbucks,-0.21463857035000006,6824,-1.958213434185645
2019-12-29,Starbucks,-0.19989187270000003,6316,-1.9686549371043327
2019-12-28,Starbucks,-0.2343310506000001,10157,-1.889706486886459
2019-12-27,Starbucks,-0.22868242565000002,8749,-1.9186467154484914
2019-12-26,Starbucks,-0.21001682440000002,9416,-1.9049371043328127
2019-12-25,Starbucks,-0.2671223582,10224,-1.88832935953301
2019-12-24,Starbucks,-0.36502269374999996,8033,-1.933363479404752
2019-12-23,Starbucks,-0.31679854435,8600,-1.921709282249445
2019-12-22,Starbucks,-0.25549733855000006,6758,-1.9595700073994902
2019-12-21,Starbucks,-0.35847299350000006,7858,-1.9369604538354024
2019-12-20,Starbucks,-0.2985034581500001,10750,-1.8775178821014553
2019-12-19,Starbucks,-0.4074109755500002,16774,-1.7536997451286689
